domain,project,1,2,3,4,total
tools,buildship,1,207,106,76,390
iot,kura,1,22,5,0,46
modeling,mmt.atl,11,188,15,4,271
modeling,sirius,159,342,602,245,1595
technology,packagedrone,0,0,0,0,0
technology,hudson,135,482,232,81,1423
mylyn,mylynbuilds,0,0,0,0,0
science,chemclipse,3,8,1,0,22
technology,camf,0,3,2,0,12
modeling,gmfnotation,0,0,0,0,0
tools,xtend,147,1227,344,207,2297
technology,stem,6,74,254,96,437
tools,targetmanagement,0,0,0,0,0
technology,woolsey,1,29,0,2,50
tools,tcf,9,565,219,245,1144
modeling,emft.facet,120,62,121,501,828
webtools,wtpreleng,0,0,0,0,0
iot,paho,5,51,45,14,143
technology,sw360,0,0,0,0,0
webtools,wtpejbtools,0,0,0,0,0
modeling,etrice,31,306,110,20,541
mylyn,mylyndocsvex,0,0,0,0,0
iot,mihini,0,46,37,38,121
technology,collections,0,0,0,0,0
technology,cbi,8,166,109,292,613
ecd,cft,2,64,39,0,131
modeling,gmp,1,76,97,65,245
iot,om2m,7,17,14,3,44
tools,buckminster,18,636,279,174,1261
rt,gemini.blueprint,2,32,34,14,87
rt,gemini.management,0,4,25,18,49
rt,jetty,0,1633,1717,416,3770
technology,mdmweb,1,14,5,4,28
ecd,dirigible,48,168,48,28,320
rt,gemini.web,1,69,79,65,217
technology,skalli,6,33,78,33,177
modeling,ocl,31,883,207,191,1739
modeling,mdt.rmf,11,126,102,86,347
technology,dltk,50,266,318,284,1121
technology,gef3d,1,51,18,7,120
iot,whiskers,0,0,0,0,0
science,statet,0,0,0,0,0
soa,stardust,21,213,181,75,538
technology,m2ewtp,0,0,0,0,0
tools,damos,0,0,0,0,6
mylyn,mylynversions,0,0,0,0,0
technology,lsp4j,0,0,0,1,1
eclipse,pde,353,5635,5164,3192,15737
technology,lsp4e,9,4,21,12,60
rt,rap,195,2763,1041,846,5011
modeling,mdt.bpmn2,0,22,12,1,62
technology,openkplatform,0,0,0,0,0
rt,gemini.naming,0,5,12,7,26
technology,lyo,15,212,488,123,881
modeling,emft,17,281,126,65,604
tools,ldt,11,119,141,101,381
technology,tm4e,0,0,0,1,1
modeling,emfcompare,18,694,238,68,1095
modeling,qvto,34,605,152,21,967
science,ice,21,164,37,10,327
tools,windowbuilder,23,198,114,120,501
tools,pdt.incubator,0,1,0,0,1
modeling,qvtd,21,70,74,6,262
science,eavp,0,0,2,0,4
modeling,tmf,145,3003,1043,361,5272
webtools,javaserverfaces,0,0,0,0,0
modeling,mmt,0,5,37,0,42
soa,mangrove,0,6,0,4,13
technology,mbeddr,0,0,0,0,0
iot,ditto,0,0,0,0,0
technology,egit,148,1619,935,466,4085
technology,eclemma,0,2,13,3,20
technology,mdmbl,0,0,1,0,2
soa,bpmn2modeler,8,554,72,13,705
technology,omr,0,0,0,0,0
iot,krikkit,0,4,0,0,6
technology,nattable,8,189,441,71,743
technology,n4js,0,0,0,0,0
mylyn,mylyntasks,0,0,0,0,0
technology,jgit,62,334,202,165,991
webtools,libra,3,34,37,57,152
modeling,gendoc,7,47,28,0,106
modeling,emf,203,3810,1540,2281,8029
modeling,papyrusxtuml,0,0,0,0,0
tools,cdt,744,4825,6849,4380,19331
iot,ignite,0,0,0,0,0
technology,rtp,3,46,18,2,77
modeling,emft.b3,12,71,15,9,140
rt,gemini.jpa,3,72,19,12,126
technology,sisu,9,15,65,27,130
tools,orbit,36,297,496,121,1033
technology,scout,31,518,863,318,1912
science,richbeans,0,0,0,0,0
technology,babel,11,363,139,84,653
technology,osbp,0,0,0,0,0
technology,mpc,4,290,105,145,596
technology,efxclipse,20,725,113,12,1092
tools,tracecompass,13,113,170,51,500
technology,epf,91,484,1576,755,3064
iot,agail,0,0,0,0,0
rt,apricot,0,10,0,1,14
technology,osee,15,31,114,154,355
modeling,emf.parsley,0,57,69,6,142
tools,atf,24,255,109,34,493
tools,aspectj,120,1360,532,461,2884
modeling,modeling,9,123,30,30,217
modeling,emft.refactor,5,3,1,1,20
technology,dash,1,90,36,23,199
technology,swtbot,12,163,127,120,524
webtools,wtpwebsite,0,0,0,0,0
foundation,workinggroups,0,0,0,0,0
tools,tools,0,3,4,1,9
technology,app4mc,0,10,32,5,47
modeling,m2t,37,470,305,136,1059
technology,tycho,29,255,307,345,1060
iot,scada,7,32,35,11,101
modeling,emft.js4emf,0,0,0,0,0
modeling,mdht,4,4,7,2,29
soa,score,0,0,0,0,1
technology,jubula,22,695,679,487,2030
technology,usssdk,0,0,2,4,7
modeling,emf.egf,24,103,48,3,191
mylyn,mylynreviewsr4e,0,0,0,0,0
rt,ercp,11,366,143,37,595
webtools,webtools,0,0,0,0,0
technology,microprofile,0,0,0,0,3
iot,milo,0,0,0,0,0
modeling,ecoretools,11,138,66,54,293
webtools,jsdt,79,337,560,1207,2439
technology,epp,27,597,250,485,1558
webtools,wtpjavaeetools,0,0,0,0,0
modeling,ecp,104,368,601,521,1615
iot,4diac,29,125,76,6,302
mylyn,mylynreviews,0,0,0,0,0
modeling,gmfruntime,0,0,0,0,0
technology,recommenders,30,388,470,200,1206
eclipse,e4,82,1344,1176,404,3478
technology,remus,1,43,3,0,61
modeling,epsilon,24,133,86,237,535
eclipse,platform,5157,29541,37864,31904,108813
technology,reddeer,0,0,0,0,0
tools,ptp,68,763,1124,581,2732
iot,paho.incubator,0,0,0,0,0
science,triquetrum,0,0,1,0,1
modeling,emfservices,0,0,0,0,0
birt,birt,291,3583,10863,7041,22409
modeling,upr,1,1,0,0,3
modeling,mdt.uml2,8,272,249,408,960
tools,objectteams,20,92,452,60,664
technology,simopenpass,0,0,0,0,0
rt,virgo,43,379,782,227,1580
technology,uomo,7,21,12,4,48
eclipse,incubator,5,11,14,3,48
technology,sensinact,0,0,0,0,0
modeling,umlgen,10,50,20,1,88
modeling,emf.diffmerge,5,108,28,0,152
